,cuisine,total_reviews,with_authentic,bad_reviews,bad_review_with_auth,with_authentic_pct,bad_reviews_pct,bad_review_with_auth_pct,bad_bad_review_with_auth_pct,bad_auth_review_pct
0,South American Cuisine,338048,40129,28059,3624,11.870799413101098,8.300300549034457,1.0720371071563801,12.91564203998717,9.030875426748736
1,Asian Cuisine,432387,37533,34451,3178,8.680418236440966,7.967630849216095,0.7349897198574425,9.224695944965312,8.467215517011697
2,Middle Eastern / African Cuisine,57644,5614,3821,342,9.73908819651655,6.628617028658663,0.5932967871764624,8.950536508767339,6.091913074456715
3,European Cuisine,551884,31179,41325,2498,5.649556790919831,7.487986605880946,0.45263135006631827,6.044767090139141,8.011802815997946
4,Unknown,218190,9403,16507,764,4.309546725331134,7.565424629909712,0.35015353590907006,4.628339492336584,8.125066468148463
5,American Cuisine,1046586,37608,81579,3084,3.59339796251813,7.7947727181521635,0.29467239194867884,3.78038465781635,8.200382897255903
